Location,Slug,Street Address,City,State,Zip Code,Assigned Store,Order Count,First Order Date,Last Order Date,Days Since Last Order,Median Reorder Gap (days),Avg Food Total,Total Food Spend,Primary Source,Segment
PHX Creative,phx-creative,555 Washington Ave Floor 5,St. Louis,MO,63101.0,Lindell/SLU,1,2026-05-28,2026-05-28,60,,240.0,240.0,Marketplace Takeout,warm
Peabody Plaza — Mercer,peabody-plaza-— mercer,800 Market St 1800,St. Louis,MO,63101.0,Lindell/SLU,1,2026-05-27,2026-05-27,61,,208.49,208.49,Marketplace Takeout,warm
Peoples Behavioral Health,peoples-behavioral-health,5669 Delmar Blvd,St. Louis,MO,63112.0,Forsyth/Clayton,1,2026-06-11,2026-06-11,46,,421.3,421.3,Marketplace Takeout,warm
PracticeLink,practicelink,1034 S Brentwood Blvd Ste 2200 - PH - 22,Richmond Heights,MO,63117.0,Forsyth/Clayton,1,2026-05-15,2026-05-15,73,,420.5,420.5,Marketplace Takeout,warm
Preferred Family Helthcare,preferred-family-helthcare,4066 Dunnica Ave,St. Louis,MO,63116.0,South City,1,2026-05-13,2026-05-13,75,,247.5,247.5,Marketplace Takeout,warm
RDG Planning & Design,rdg-planning-and-design,7415 Manchester Rd,Maplewood,MO,63143.0,South City,1,2026-06-25,2026-06-25,32,,90.1,90.1,Marketplace Takeout,warm
Radiation Oncology,radiation-oncology,10050 Kennerly Rd,St. Louis,MO,63128.0,Tesson,1,2026-05-21,2026-05-21,67,,228.0,228.0,Marketplace Takeout,warm
Ritz Carlton: Guest Jed Tuminaro,ritz-carlton:-guest-jed-tuminaro,100 Carondelet Plaza Presidential Suite,St. Louis,MO,63105.0,Forsyth/Clayton,1,2026-05-05,2026-05-05,83,,252.96,252.96,Marketplace Takeout,warm
SLU Doisy College of Health Sciences,slu-doisy-college-of-health-sciences,3437 Caroline St,St. Louis,MO,63104.0,Lindell/SLU,1,2026-06-01,2026-06-01,56,,362.5,362.5,Marketplace Takeout,warm
SSM Cardinal Glennon Children's Hospital,ssm-cardinal-glennon-childrens-hospital,1465 S Grand Blvd,St. Louis,MO,63104.0,Lindell/SLU,1,2026-06-22,2026-06-22,35,,929.4,929.4,Marketplace Takeout,warm
